field_1,latitude,longitude
"416654",27.1041660308838,81.0182876586914
"417823",27.095832824707,80.7220764160156
"417824",27.095832824707,80.7314376831055
"417825",27.095832824707,80.7407989501953
"417826",27.095832824707,80.7501602172852
"417827",27.095832824707,80.759521484375
"417828",27.095832824707,80.7688827514648
"417829",27.095832824707,80.7782440185547
"417830",27.095832824707,80.78759765625
"417831",27.095832824707,80.7969589233398
"417832",27.095832824707,80.8063201904297
"417833",27.095832824707,80.8156814575195
"417834",27.095832824707,80.8250427246094
"417835",27.095832824707,80.8344039916992
"417836",27.095832824707,80.8437652587891
"417837",27.095832824707,80.8531265258789
"417838",27.095832824707,80.8624877929688
"417839",27.095832824707,80.8718490600586
"417840",27.095832824707,80.8812103271484
"417841",27.095832824707,80.8905715942383
"417842",27.095832824707,80.8999328613281
"417843",27.095832824707,80.909294128418
"417844",27.095832824707,80.9186477661133
"417845",27.095832824707,80.9280090332031
"417846",27.095832824707,80.937370300293
"417847",27.095832824707,80.9467315673828
"417848",27.095832824707,80.9560928344727
"417849",27.095832824707,80.9654541015625
"417850",27.095832824707,80.9748153686523
"417851",27.095832824707,80.9841766357422
"417852",27.095832824707,80.993537902832
"417853",27.095832824707,81.0028991699219
"417854",27.095832824707,81.0122604370117
"417855",27.095832824707,81.0216217041016
"417856",27.095832824707,81.0309829711914
"419023",27.0874996185303,80.7160720825195
"419024",27.0874996185303,80.7254333496094
"419025",27.0874996185303,80.7347946166992
"419026",27.0874996185303,80.7441482543945
"419027",27.0874996185303,80.7535095214844
"419028",27.0874996185303,80.7628707885742
"419029",27.0874996185303,80.7722320556641
"419030",27.0874996185303,80.7815933227539
"419031",27.0874996185303,80.7909545898438
"419032",27.0874996185303,80.8003082275391
"419033",27.0874996185303,80.8096694946289
"419034",27.0874996185303,80.8190307617188
"419035",27.0874996185303,80.8283920288086
"419036",27.0874996185303,80.8377532958984
"419037",27.0874996185303,80.8471145629883
"419038",27.0874996185303,80.8564682006836
"419039",27.0874996185303,80.8658294677734
"419040",27.0874996185303,80.8751907348633
"419041",27.0874996185303,80.8845520019531
"419042",27.0874996185303,80.893913269043
"419043",27.0874996185303,80.9032745361328
"419044",27.0874996185303,80.9126281738281
"419045",27.0874996185303,80.921989440918
"419046",27.0874996185303,80.9313507080078
"419047",27.0874996185303,80.9407119750977
"419048",27.0874996185303,80.9500732421875
"419049",27.0874996185303,80.9594345092773
"419050",27.0874996185303,80.9687881469727
"419051",27.0874996185303,80.9781494140625
"419052",27.0874996185303,80.9875106811523
"419053",27.0874996185303,80.9968719482422
"419054",27.0874996185303,81.006233215332
"419055",27.0874996185303,81.0155944824219
"419056",27.0874996185303,81.0249481201172
"419057",27.0874996185303,81.034309387207
"419058",27.0874996185303,81.0436706542969
"420215",27.0791664123535,80.6351928710938
"420216",27.0791664123535,80.6445541381836
"420217",27.0791664123535,80.6539154052734
"420223",27.0791664123535,80.7100677490234
"420224",27.0791664123535,80.7194290161133
"420225",27.0791664123535,80.7287902832031
"420226",27.0791664123535,80.7381439208984
"420227",27.0791664123535,80.7475051879883
"420228",27.0791664123535,80.7568664550781
"420229",27.0791664123535,80.7662200927734
"420230",27.0791664123535,80.7755813598633
"420231",27.0791664123535,80.7849426269531
"420232",27.0791664123535,80.794303894043
"420233",27.0791664123535,80.8036575317383
"420234",27.0791664123535,80.8130187988281
"420235",27.0791664123535,80.822380065918
"420236",27.0791664123535,80.8317413330078
"420237",27.0791664123535,80.8410949707031
"420238",27.0791664123535,80.850456237793
"420239",27.0791664123535,80.8598175048828
"420240",27.0791664123535,80.8691787719727
"420241",27.0791664123535,80.878532409668
"420242",27.0791664123535,80.8878936767578
"420243",27.0791664123535,80.8972549438477
"420244",27.0791664123535,80.9066162109375
"420245",27.0791664123535,80.9159698486328
"420246",27.0791664123535,80.9253311157227
"420247",27.0791664123535,80.9346923828125
"420248",27.0791664123535,80.9440536499023
"420249",27.0791664123535,80.9534072875977
"420250",27.0791664123535,80.9627685546875
"420251",27.0791664123535,80.9721298217773
"420252",27.0791664123535,80.9814910888672
"420254",27.0791664123535,81.0002059936523
"420255",27.0791664123535,81.0095672607422
"420256",27.0791664123535,81.018928527832
"420257",27.0791664123535,81.0282821655273
"421417",27.0708332061768,80.6479187011719
"421418",27.0708332061768,80.6572723388672
"421419",27.0708332061768,80.666633605957
